# fesc_ion	fesc_lya
1.603537457816599926e-02 8.234332870332543575e-01
4.766733253748872386e-04 9.723809523809523458e-01
3.086244609480319478e-02 6.125284465205413920e-01
6.600032579375270450e-03 9.835238095238095779e-01
2.802779441316826433e-03 5.503326894183301343e-01
1.086456772186028845e-03 3.781060387171337744e-01
9.211295926380625625e-04 3.725028538812785173e-01
2.898393326469325833e-04 6.054177929251380874e-01
5.084062444038991296e-02 7.697393418952808153e-01
1.857337226860106792e-03 3.233057355861087417e-02
1.407456210102859054e-02 8.613869863013698946e-01
4.647279461902409370e-03 1.200845914351171967e-01
3.031501661058812885e-02 7.629657508468197236e-01
1.177434653471552510e-02 5.565386275356063450e-01
1.566194136092761632e-02 5.702791188058375926e-01
5.346874393226586433e-03 6.390185240349077755e-02
1.054981566180417246e-01 3.970701322669947797e-01
9.427016065665592970e-02 9.653333333333333766e-01
1.171579440046893392e-02 9.428571428571428381e-01
2.264277766427403304e-01 8.961607142857143105e-01
4.750601256551125959e-03 5.357718085935470054e-01
1.329349584978076551e-02 1.576466376275434123e-01
3.693728487049989170e-03 1.674817382691593526e-01
1.904758102920183871e-04 9.346666666666666456e-01
1.328847178348559416e-03 3.284466465750626035e-02
7.869799747741455798e-03 8.918006573687483618e-01
1.814660737035345356e-03 5.910187205696566526e-01
5.979222302807925965e-02 8.130901460737631758e-01
4.008723807120748855e-02 9.624761904761904852e-01
6.634016394758234306e-03 4.338716532086697719e-01
8.000825078764527490e-03 6.086182336182336394e-01
1.392683296263870149e-02 7.785824345146379333e-01
2.546044268140391312e-03 7.269534050179211615e-01
4.190475316092831526e-03 9.403809523809524284e-01
8.244899033559852097e-02 9.018129599712798594e-01
1.053025277879515026e-01 9.760952380952381269e-01
2.925213525627761574e-02 2.069254289442421235e-01
1.753990782404813223e-02 8.259836065573770147e-01
9.313706860154266978e-03 2.621122789028454414e-01
1.642345887658533676e-01 5.970505945441827444e-01
4.502507274981295215e-04 6.603259105369083670e-01
3.845198872947451496e-03 2.261011835199626119e-01
2.066193140052801150e-02 8.247870249017037469e-01
2.717367812655658854e-01 9.762857142857143122e-01
2.936023169730858119e-03 7.548066216316531296e-01
5.026544078335957490e-03 9.525714285714286245e-01
2.568084267049270709e-03 8.143025952995754935e-01
5.394634588541588616e-02 5.925517721445558994e-01
7.653440801158123636e-05 5.849912146460352069e-01
8.986953076496089626e-03 3.680139100812604425e-01
1.299427018739399420e-01 8.266426347697853894e-01
2.651640151978006815e-03 1.636608258320786657e-01
1.696526278552777656e-02 6.028685633670349819e-01
6.081907191698813359e-02 4.070813925949317014e-01
1.965309236854656874e-02 9.696190476190476026e-01
1.916170822516812065e-03 5.628261973438309501e-02
