,H_em,P_cl,T_ICM,T_cl,Z_cl,beta_cl,chisq,cloud_Rin,cloud_Rout,f_cl,grid_rnd_seed,id,n_HI_ICM,n_HI_cl,r_cl,r_gal,sigma_cl,sigma_i,vinf_cl,zeta_Z
56,2161.858,0.9704308,4249738.0,35417.81,0.329014591546,2.43,5827.39807242,0.0,5000.0,3.20030562186,123456,56,2.334165e-10,0.1982792,110.2997,5000.0,55.27965,7.949712,553.8761,0.00537674472052
57,2700.639,0.9705323,327779.4,20371.47,0.0498388308446,1.82,6713.55857876,0.0,5000.0,4.0986439683,123456,57,2.581831e-12,0.8986521,127.7625,5000.0,54.36182,35.45776,686.6796,0.00598281621656
58,895.7113,0.9439898,1280403.0,5999.188,0.187980309715,2.03,19555.4166288,0.0,5000.0,4.22998126885,123456,58,8.372855e-12,0.1232486,164.165,5000.0,53.96403,78.83594,789.2365,0.000150275881435
59,2479.91,0.9656323,7338236.0,5660.355,0.938848257979,1.73,6517.77434221,0.0,5000.0,2.85380772983,123456,59,7.388611e-10,0.0519856,198.6538,5000.0,53.88976,23.58914,632.4193,0.00140265967713
60,2658.978,0.9482024,1584567.0,16833.51,0.07242648768,2.19,5833.95779328,0.0,5000.0,7.99013996376,123456,60,1.26347e-07,1.484207,154.1399,5000.0,55.31061,63.09175,438.2711,0.00210542179939
61,2812.451,0.9608332,43146850.0,16636.35,0.297468167341,1.31,1201.15407921,0.0,5000.0,4.6097485939,123456,61,1.920952e-09,0.2428952,118.235,5000.0,54.01831,5.611608,145.4315,0.0026201753065
62,2577.517,0.9463602,2824747.0,44709.39,0.174766697528,1.77,4601.90343922,0.0,5000.0,5.362825578,123456,62,8.230698e-12,1.304744,55.47173,5000.0,55.19521,58.99891,564.7981,0.00384302038182
63,1371.603,0.9447594,8087763.0,15536.57,0.179367355348,2.05,1946.69691019,0.0,5000.0,4.25946772631,123456,63,5.367333e-09,0.1193972,156.0776,5000.0,53.97429,77.31334,86.58465,0.00072435803432
64,2256.939,0.9422918,24847140.0,11995.59,0.0413117884469,1.61,8248.18289622,0.0,5000.0,3.83918203924,123456,64,2.571931e-11,0.1452193,58.63961,5000.0,55.37391,58.55631,711.9168,0.000120138179083
65,888.16,0.9554687,39733240.0,46198.41,0.232062915013,1.23,6519.2630446,0.0,5000.0,3.39914196742,123456,65,6.038794e-12,1.88699,59.97383,5000.0,54.80789,30.92043,786.1208,0.0267518348248
66,920.3774,0.9722827,8527793.0,5781.53,0.374256169027,1.7,1377.01417574,0.0,5000.0,3.41278419185,123456,66,4.255315e-09,0.0734273,45.76398,5000.0,54.62428,42.52432,41.70907,0.00132989162629
67,2545.862,0.9469462,804857.5,41188.68,0.212242994257,1.85,13285.396239,0.0,5000.0,7.56070999288,123456,67,1.892623e-08,0.1426865,123.7111,5000.0,54.37033,71.30428,504.7399,0.000595510825015
68,1590.434,0.9601187,625964.1,42056.94,0.727610924107,1.72,6262.22993081,0.0,5000.0,6.57546149847,123456,68,1.680993e-08,0.07009635,126.5768,5000.0,54.2934,71.93522,253.4689,0.000453290065612
69,2665.289,0.9431114,806168.2,6772.46,0.546707589597,2.4,3005.6535168,0.0,5000.0,1.74406326012,123456,69,4.216543e-10,0.05731424,42.08244,5000.0,54.94796,97.23791,350.4332,0.0209692491908
70,1979.304,0.9651891,1179282.0,22180.62,0.403760122044,2.34,2635.63262881,0.0,5000.0,2.44918568877,123456,70,3.953319e-07,0.05592744,143.7319,5000.0,54.64811,83.48378,52.83271,0.000273105019031
71,1100.487,0.9709401,948702.3,8780.639,0.133972624008,1.19,4215.7160312,0.0,5000.0,0.869770201859,123456,71,3.199933e-12,0.8192726,43.7732,5000.0,54.77031,83.46664,404.2607,0.0139412486861
72,743.6049,0.9501895,24061520.0,6877.717,0.160219465632,1.9,46481.0545166,0.0,5000.0,7.621189244,123456,72,1.432917e-12,0.03893457,190.5429,5000.0,54.75823,16.1999,433.5893,0.0307701289218
73,2147.184,0.9549559,17735710.0,24274.49,0.475378768861,1.44,2349.48637631,0.0,5000.0,2.11951780741,123456,73,4.722855e-09,0.8564722,36.48791,5000.0,55.29801,57.78707,450.6201,0.00773525542248
74,2526.067,0.9700558,6054155.0,10388.58,0.283248545179,2.08,1995.92266183,0.0,5000.0,2.15607086538,123456,74,2.636716e-07,1.363398,187.5161,5000.0,55.29237,96.89752,33.65838,0.000159447469245
75,2319.984,0.9535095,2144545.0,15188.98,0.0369669511117,1.98,5585.04708885,0.0,5000.0,2.03905049551,123456,75,3.99951e-11,0.1085271,115.3865,5000.0,54.32513,34.28098,532.2078,0.000340336525439
76,2717.415,0.9785482,1520981.0,13567.25,0.0693130654464,1.72,7242.09922737,0.0,5000.0,6.43374413357,123456,76,8.126111e-08,0.9260824,144.3808,5000.0,55.31027,53.21773,694.519,0.000115765702637
77,1531.031,0.9764472,8073074.0,19591.77,0.208668426351,2.43,7717.37049362,0.0,5000.0,2.2426902225,123456,77,2.507211e-10,0.05677155,114.9864,5000.0,55.23954,63.35199,703.6209,0.00205084993138
78,1807.756,0.9409075,365699.4,5782.85,0.0701962543769,1.15,3940.87100662,0.0,5000.0,7.08602075134,123456,78,1.42674e-08,0.1936874,171.8347,5000.0,54.85405,50.24551,31.90692,0.00032195376141
79,2152.619,0.9625353,2001081.0,48116.45,0.0313339794131,1.62,2358.06699503,0.0,5000.0,5.33826259348,123456,79,4.791163e-10,1.673684,159.3444,5000.0,54.09378,44.43528,66.82161,0.00276163049654
80,660.008,0.9600344,35567570.0,7383.256,0.719256311464,1.2,7829.52259003,0.0,5000.0,4.44245763173,123456,80,7.830176e-12,0.04896566,170.8767,5000.0,53.94794,59.10049,298.6563,0.000151093533263
81,1048.228,0.9450372,8252378.0,6273.159,0.0683262272558,1.39,14232.782921,0.0,5000.0,7.08217186427,123456,81,6.886803e-10,0.5420712,82.05126,5000.0,54.99643,27.24808,607.6676,0.0317296637186
82,1253.197,0.9561175,313502.6,8676.509,0.094931018897,2.36,5000.54799613,0.0,5000.0,2.16932387306,123456,82,5.822874e-12,0.0891621,60.79317,5000.0,53.88242,15.72215,67.82676,0.0155325720441
83,534.4211,0.941733,27429410.0,11689.45,0.294503923564,2.41,7863.07853078,0.0,5000.0,6.36434897299,123456,83,1.546379e-10,1.133918,125.4034,5000.0,54.65996,63.46264,296.2006,0.000168323119329
84,2127.179,0.9714287,1275916.0,42769.62,0.142911737388,2.31,4863.21104792,0.0,5000.0,6.62699460187,123456,84,4.368082e-11,0.04914935,181.8408,5000.0,55.13016,41.64503,100.8433,0.00184002828142
85,2318.444,0.9763972,2369948.0,26363.61,0.132158416534,1.94,4759.06651913,0.0,5000.0,6.05889671093,123456,85,5.099937e-12,2.917852,59.45731,5000.0,53.82533,77.54149,692.2155,0.00399009584963
86,2786.008,0.9623977,5494751.0,38809.07,0.529550602536,2.49,4675.04264123,0.0,5000.0,5.54208177091,123456,86,1.623806e-11,0.2396787,163.0213,5000.0,55.19869,71.33816,620.9446,0.0718763837162
