ID,H_em,P_cl,T_ICM,T_cl,Z_cl,beta_cl,chisq,cloud_Rin,cloud_Rout,f_cl,grid_rnd_seed,id,n_HI_ICM,n_HI_cl,r_cl,r_gal,sigma_cl,sigma_i,vinf_cl,zeta_Z
40,1242.045,0.2056608,567771.7,26632.45,0.537838572067,1.8,643.383672715,0.0,5000.0,3.47331623494,123456,40,4.613616e-07,0.138774,183.9939,5000.0,48.6858,8.024939,198.7265,0.000240749843054
41,1301.122,0.1040502,38473020.0,9711.821,0.144926792484,1.76,566.501202727,0.0,5000.0,7.25181645306,123456,41,1.454193e-07,0.3914762,72.52183,5000.0,47.50498,78.71515,781.5315,0.000103232941155
42,1859.861,0.03522117,3288529.0,16381.78,0.0437550835063,1.57,1151.21457491,0.0,5000.0,4.45700180367,123456,42,6.940124e-07,0.3637991,147.4213,5000.0,71.29855,74.1002,342.3016,0.0126316075038
43,1325.22,0.7390735,418732.4,27258.49,0.221783421044,1.95,519.94806723,0.0,5000.0,1.68006031164,123456,43,3.825251e-08,0.5227627,183.5964,5000.0,16.9614,71.84402,550.5017,0.00720011407362
44,2255.461,0.1179671,1728863.0,27137.27,0.162260029058,1.12,511.809178993,0.0,5000.0,3.7810426009,123456,44,3.763153e-09,0.2963015,133.8,5000.0,14.11419,23.9871,320.905,0.000199163682876
45,2967.723,0.9692626,903671.1,15604.32,0.0706288948683,1.87,259.722315867,0.0,5000.0,7.6576646266,123456,45,6.376938e-12,0.8000431,184.6998,5000.0,55.81348,95.69051,473.0255,0.00135156881285
46,1905.318,0.5670205,359106.9,15307.57,0.106839165872,2.19,1915.89050157,0.0,5000.0,7.15588850217,123456,46,2.071548e-09,0.1092063,147.3643,5000.0,65.52241,79.00378,708.6624,0.033706691978
47,1072.618,0.3495463,4487979.0,14983.25,0.0412038593234,2.04,728.040752564,0.0,5000.0,3.14565094221,123456,47,2.053455e-09,0.1323859,108.1924,5000.0,95.03015,28.6973,367.1871,0.0057934420315
48,2154.629,0.7170194,2941908.0,8022.577,0.210412877359,2.43,461.137601704,0.0,5000.0,4.57771452667,123456,48,2.499265e-12,0.06392988,42.687,5000.0,38.99986,75.75189,34.86951,0.00121189697526
49,2396.811,0.7325915,3347140.0,6808.779,0.28255708021,1.98,1507.08865367,0.0,5000.0,4.83673082011,123456,49,6.801563e-12,0.06149154,182.5467,5000.0,46.18153,13.97381,671.037,0.0671071919055
50,2952.43,0.04378716,1766166.0,24609.81,0.477515496884,1.28,222.835438859,0.0,5000.0,6.2768267319,123456,50,8.236423e-07,2.719095,34.72376,5000.0,26.30966,61.07111,69.31369,0.00127083678221
51,777.6111,0.9536959,356326.6,8289.511,0.668226759367,1.44,1015.90210346,0.0,5000.0,2.61529767829,123456,51,2.277837e-07,0.08427277,174.1091,5000.0,80.07072,8.601488,628.1187,0.0097216653769
52,1915.256,0.0857089,3451062.0,21530.0,0.119873490098,1.97,517.620299943,0.0,5000.0,1.878738505,123456,52,1.240594e-07,1.250495,146.1179,5000.0,68.87779,18.31372,690.0872,0.000974210067664
53,2905.316,0.2009232,2506721.0,9388.069,0.276017446908,2.05,431.857609414,0.0,5000.0,6.1902052027,123456,53,4.058858e-11,0.3944997,148.8382,5000.0,52.53343,9.310527,214.3199,0.000201565786873
54,2962.457,0.9889494,5344328.0,5537.56,0.0333146384753,1.67,585.263404129,0.0,5000.0,3.46674897438,123456,54,3.152337e-11,0.5479225,122.609,5000.0,24.75055,97.76288,309.5992,0.0281602559061
55,1328.957,0.5647315,347407.3,14083.08,0.0702292307487,2.0,652.067211534,0.0,5000.0,4.81959864744,123456,55,9.642002e-10,1.351782,39.47178,5000.0,98.78848,20.78755,388.0274,0.000423037639864
56,577.3501,0.993124,1063370.0,38473.49,0.338196872389,1.49,1180.06949077,0.0,5000.0,3.36680109146,123456,56,1.341247e-11,0.03972553,72.38372,5000.0,62.57397,15.75744,525.8386,0.0117230755033
57,2144.506,0.3028269,6840395.0,6643.644,0.262594259646,1.98,1864.9870313,0.0,5000.0,5.94005888904,123456,57,6.603069e-12,0.03740466,53.65854,5000.0,40.30773,98.57119,588.8857,0.000385244597267
58,1208.852,0.9363885,4098427.0,7470.302,0.0333750559081,1.56,3181.74853841,0.0,5000.0,7.29513503062,123456,58,6.995488e-10,0.03007165,194.2078,5000.0,53.78526,29.65302,640.5056,0.00841536205994
59,1920.044,0.1857595,2927422.0,9077.43,0.10989411475,1.77,576.384580355,0.0,5000.0,4.28096600854,123456,59,7.148922e-11,1.441655,40.70875,5000.0,57.2936,31.0851,384.0703,0.00577170169972
60,1194.4,0.6463711,1635340.0,35310.85,0.0819151784758,2.46,7838.67243476,0.0,5000.0,3.56361674,123456,60,1.392856e-12,0.04432955,185.6296,5000.0,6.17781,9.338832,30.95181,0.00297566398183
61,931.9701,0.7173716,14393470.0,12650.75,0.402599123847,1.49,754.586256708,0.0,5000.0,4.02922740851,123456,61,2.788945e-07,0.07356479,187.5286,5000.0,13.9476,98.92054,76.79862,0.00078172046613
62,835.818,0.4809032,2787290.0,16609.8,0.70663264087,1.71,188.277457156,0.0,5000.0,6.0027138582,123456,62,2.640193e-12,0.08997879,113.4455,5000.0,54.98488,91.92835,102.2307,0.000444061818201
63,1042.01,0.7659489,10286300.0,41728.61,0.130501818478,1.73,1407.03830893,0.0,5000.0,7.54219516895,123456,63,3.91614e-07,0.1668153,185.2641,5000.0,71.05879,31.40992,134.8747,0.000116980360958
64,903.6948,0.9127713,831211.2,13731.96,0.196134239321,1.83,218.64955455,0.0,5000.0,4.93954876068,123456,64,1.412125e-11,0.125388,197.0307,5000.0,42.28922,12.01698,60.3653,0.0437824399196
65,1990.002,0.2298003,40316390.0,10413.25,0.0932179855251,1.84,834.89319047,0.0,5000.0,3.02522363828,123456,65,6.2227e-07,0.3270341,90.78835,5000.0,86.77724,16.69469,243.6886,0.00102504525768
66,1057.255,0.7803304,8805292.0,5260.736,0.76378150128,2.04,282.336415346,0.0,5000.0,5.01275495775,123456,66,1.370677e-08,1.11305,106.0764,5000.0,18.41023,53.70847,599.1298,0.000587679558715
67,1764.306,0.1908044,28765660.0,11953.58,0.130939323843,1.75,1523.63764116,0.0,5000.0,5.22464035479,123456,67,5.544487e-09,0.05750562,95.40305,5000.0,17.95835,69.28066,389.2109,0.00276488682718
68,2011.164,0.6046749,29394380.0,10210.15,0.089813598275,2.4,289.495343525,0.0,5000.0,6.91261283357,123456,68,3.42773e-09,2.421866,101.3218,5000.0,63.78264,92.40433,585.7648,0.0157814462729
69,1283.079,0.4662718,6903012.0,36786.91,0.0933403217443,2.33,544.485940456,0.0,5000.0,2.96680029619,123456,69,2.028111e-10,0.7569675,86.06756,5000.0,66.31559,64.74992,345.6898,0.000262829944638
70,2437.0,0.4148023,601028.6,26951.55,0.0804348517159,2.39,645.289819461,0.0,5000.0,7.25950020331,123456,70,1.419984e-12,0.2296369,186.4118,5000.0,80.49736,50.98762,203.9969,0.0193406973096
71,929.256,0.4288751,41080170.0,11389.59,0.0423494312444,2.33,1143.78792864,0.0,5000.0,3.22335943713,123456,71,2.212912e-09,1.312075,167.4852,5000.0,15.96118,36.6182,687.1731,0.000124151308808
72,2986.283,0.7029609,16650360.0,8228.931,0.356044284107,2.44,434.240847307,0.0,5000.0,7.47952110653,123456,72,5.96847e-11,2.505549,88.73038,5000.0,69.93362,11.46642,201.0823,0.000106576318379
73,2966.747,0.5672477,16738720.0,19245.1,0.821353506877,1.38,264.369114248,0.0,5000.0,1.55577812941,123456,73,8.00463e-08,1.134357,167.4413,5000.0,30.29036,46.1607,25.66762,0.000306813876552
74,2089.226,0.7472263,720777.8,10438.82,0.0760903020185,2.42,1308.52980664,0.0,5000.0,1.03516360551,123456,74,2.304392e-07,0.26356,102.5485,5000.0,44.69903,79.2596,17.57049,0.00312011648251
75,2877.46,0.4572717,25286960.0,13596.14,0.0453490049414,2.37,1408.67956943,0.0,5000.0,7.56919408327,123456,75,1.331111e-07,0.04173322,182.736,5000.0,75.16824,60.10741,240.9292,0.00726634145873
76,717.4155,0.1916268,1040233.0,20326.16,0.416627009781,1.17,1539.37261824,0.0,5000.0,1.12114198269,123456,76,8.419843e-11,0.1336464,188.2476,5000.0,53.66975,25.13805,787.6005,0.00331229719845
77,2009.39,0.6924236,3417267.0,7054.15,0.137228969688,2.37,651.739665731,0.0,5000.0,6.63786165422,123456,77,2.27839e-12,0.234162,50.65785,5000.0,35.68233,19.16514,555.0925,0.045122048913
78,1226.878,0.2607764,10113880.0,39923.61,0.546049101699,2.26,163.937830221,0.0,5000.0,4.12697241739,123456,78,1.56497e-09,2.4602,139.2834,5000.0,93.93086,41.79001,225.848,0.000314661230368
79,1341.528,0.6040084,6901694.0,9405.853,0.110025209802,2.31,671.330654281,0.0,5000.0,5.7664289656,123456,79,8.876111e-10,1.78502,86.32832,5000.0,31.83489,98.17474,701.7696,0.00201734908851
80,676.4053,0.3060477,21083080.0,34850.86,0.043402399428,1.15,3015.26367281,0.0,5000.0,7.72211112872,123456,80,1.19025e-10,0.04718958,123.0195,5000.0,99.89824,62.04605,688.9588,0.0259643173753
81,1280.072,0.7931023,4714609.0,6900.309,0.51595241883,2.19,328.892806895,0.0,5000.0,5.70334254055,123456,81,7.595944e-11,1.188033,187.896,5000.0,51.84132,76.66223,120.6017,0.0181977440548
82,1434.035,0.8691705,33793410.0,8330.143,0.319943640051,1.26,100.456125166,0.0,5000.0,2.99962234108,123456,82,1.190614e-09,0.05271119,129.8791,5000.0,81.18237,70.20961,25.83514,0.00465371039037
