# velocity intensity intensity_error
# km/s arbitrary_units arbitrary_units
1366.96400721 -1.14618291833e-05 1.92234846637e-05
1401.08777271 -2.73867886242e-06 1.92234846637e-05
1435.20373527 1.59443726925e-06 1.92234846637e-05
1469.31189756 -4.94091670932e-06 1.92234846637e-05
1503.41226227 -1.58868967144e-05 1.92234846637e-05
1537.50483206 -1.01040920662e-06 1.92234846637e-05
1571.5896096 2.57320382973e-06 1.92234846637e-05
1605.66659757 1.18947003887e-05 1.92234846637e-05
1639.73579864 1.6603290405e-05 1.92234846637e-05
1673.79721548 1.84691181399e-05 1.92234846637e-05
1707.85085075 3.87670795592e-06 1.92234846637e-05
1741.89670712 -6.47329172623e-06 1.92234846637e-05
1775.93478725 1.45929429378e-05 1.92234846637e-05
1809.96509382 4.37482417089e-05 1.92234846637e-05
1843.98762947 2.68724092866e-05 1.92234846637e-05
